Station Offset to Points Report,,,,
,,,,
Client:,Prepared by:,,,
Client,Preparer,,,
Client Company,Your Company Name,,,
Address 1,123 Main Street,,,
Date: 11/8/2025 8:09:00 AM,,,,
,,,,
,,,,
Alignment Name: tangchenar - mokhallason1,,,,
Description:,,,,
"Station Range: Start: 0+000.00, End: 0+552.83",,,,
,,,,
Point,Station,Offset,Elevation,Description
1827,0+060.01,-0.038m,"1,006.751m",(60(9))60(9)
1828,0+060.18,-1.242m,"1,006.779m",(60(10))60(10)
1829,0+060.08,3.268m,"1,006.703m",(60(11))60(11)
1830,0+059.97,8.000m,"1,006.635m",(as)as
1831,0+059.99,8.386m,"1,006.579m",(60(13))60(13)
1832,0+060.01,9.844m,"1,006.499m",(60(14))60(14)
1833,0+060.00,12.626m,"1,005.895m",(60(15))60(15)
1834,0+059.98,15.629m,"1,005.545m",(60(16))60(16)
1835,0+059.96,19.042m,"1,005.414m",(60(17))60(17)
1836,0+039.94,19.112m,"1,005.759m",(40(8))40(8)
1837,0+040.05,15.254m,"1,005.915m",(40(9))40(9)
1838,0+040.10,9.926m,"1,006.728m",(40(10))40(10)
1839,0+040.02,8.124m,"1,006.869m",(40(11))40(11)
1840,0+040.05,7.920m,"1,006.900m",(as)as
1841,0+039.94,4.000m,"1,007.012m",(40(13))40(13)
1842,0+040.01,0.004m,"1,007.076m",(40(14))40(14)
1843,0+040.07,-1.149m,"1,007.106m",(40(15))40(15)
1844,0+019.99,0.002m,"1,007.357m",(20(7))20(7)
1845,0+020.07,-1.410m,"1,007.365m",(20(8))20(8)
1846,0+475.01,342.370m,"1,007.576m",(0(6))0(6)
1847,0+000.01,-0.959m,"1,007.599m",(0(7))0(7)
1848,0+476.97,340.649m,"1,007.535m",(0(8))0(8)
1849,0+000.01,7.136m,"1,007.384m",(as)as
1850,0+480.53,337.480m,"1,007.329m",(0(10))0(10)
1851,0+481.73,336.423m,"1,007.213m",(0(11))0(11)
1852,0+483.54,334.836m,"1,006.678m",(0(12))0(12)
1853,0+000.03,13.981m,"1,006.197m",(0(13))0(13)
1854,0+488.07,330.815m,"1,005.966m",(0(14))0(14)
1855,0+020.01,17.950m,"1,005.750m",(20(7)(1))20(7)(1)
1856,0+020.01,13.931m,"1,006.100m",(20(7)(2))20(7)(2)
1857,0+020.08,10.161m,"1,006.821m",(20(7)(3))20(7)(3)
1858,0+019.96,7.813m,"1,007.067m",(20(7)(4))20(7)(4)
1859,0+020.01,7.324m,"1,007.115m",(as)as
1860,0+020.01,3.953m,"1,007.262m",(20(7)(6))20(7)(6)
1861,0+020.03,2.288m,"1,007.281m",(20(7)(7))20(7)(7)
,,,,
Out of Range: The Point is not adjacent to alignment.,,,,
