No,Distance,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,CL,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,end
,,,,,,,,,,,,,,,,,,,,,1330.78,1330.793,1330.876,1330.837,1330.789,1330.959,1331.027,1331.818,1331.709,1331.814,1331.761,1332.027,1332.032,1331.97,1332.004,1331.875,1332.023,1331.922,1331.342,1331.494,1330.367,1330.352,1330.326,1330.158,1330.133,1330.005,1329.985,1329.846,1329.816,1329.519,1329.476,1329.599,1329.546,1329.54,1329.373,1329.318,1329.754,1329.705,1329.896,1329.949,1329.939,1330.381,1330.302,1330.278,1329.963,1330.062,1330.063,1330.054,1330.235,1330.549,1330.596,1330.463,,,,,,,
601,116692.55,,,,,,,,,,,,,,,,,,,,,,20,19.01,18.68,17.39,16.93,16.63,16.15,16.01,14.9,13.92,12.96,10.78,8,3.51,2.05,1.93,1.74,0,2.22,2.41,2.44,2.9,5.74,5.83,6,6.07,6.19,7.36,8.2,8.94,9.98,10.27,10.35,11.73,12.57,12.69,12.76,12.84,12.85,15.79,16.02,17.64,17.74,17.85,17.96,18.02,18.13,19.81,20,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1330.812,1330.976,1330.888,1330.687,1330.806,1330.797,1331.051,1331.082,1331.37,1331.666,1331.681,1331.815,1331.811,1331.84,1331.575,1331.715,1331.648,1330.999,1329.483,1329.441,1329.416,1329.219,1329.174,1329.161,1329.06,1329.137,1329.042,1329.466,1329.293,1329.176,1329.255,1329.408,1329.508,1329.346,1329.204,1329.186,1329.1,1329.117,1329.186,1329.222,1329.265,1329.193,1329.18,1329.203,1329.213,1329.292,1329.256,1329.221,1329.147,,,,,,,,
602,116697.06,,,,,,,,,,,,,,,,,,,20,19.3,19.02,18.95,17.17,17.13,15.55,15.51,14.02,14.01,13.47,10.61,10.17,3.49,2.99,2.95,2.79,2.47,1.5,0.88,0,1.24,1.28,1.39,1.61,1.97,2.26,2.75,4.07,4.74,5.1,5.43,6.14,6.78,7.36,8.06,9.1,9.11,9.15,10.34,10.77,11.69,11.82,12.9,14.04,14.2,15.93,16.01,16.88,17.06,17.95,18.97,19.78,19.91,20,,,,,
,,,,,,,,,,,,,,,,,,,,1330.884,1330.983,1330.925,1330.967,1330.695,1330.667,1331.111,1331.162,1331.523,1331.517,1331.624,1331.766,1331.692,1331.752,1331.658,1331.642,1331.691,1331.596,1331.43,1331.173,1331.004,1330.175,1330.253,1330.213,1330.097,1330.051,1329.962,1329.924,1329.784,1329.6,1329.623,1329.476,1329.45,1329.365,1329.356,1329.339,1329.257,1329.286,1329.184,1329.127,1329.188,1329.069,1329.078,1329.149,1329.3,1329.221,1329.041,1329.067,1328.964,1329.023,1328.804,1328.871,1328.786,1328.753,1328.755,,,,,
603,116700.52,,,,,,,,,,,,,,,,,20,19.25,18.9,17.57,17.32,16.14,15.74,14.63,14.36,11.55,11.39,10.73,4.22,3.52,3.05,2.95,2.57,1.45,1.08,1,0.73,0.45,0,1.03,1.24,1.3,2.48,3.08,3.3,3.37,5.5,5.78,6.11,8.66,8.79,9.01,9.92,11.63,12.38,13.1,14.23,15.03,15.73,16.53,17.65,18.82,19.49,20,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1331.014,1330.895,1330.85,1330.703,1330.673,1331.005,1331.152,1331.448,1331.469,1331.602,1331.688,1331.628,1331.59,1331.648,1331.58,1331.528,1331.564,1331.386,1331.414,1331.438,1331.28,1331.174,1331.208,1330.587,1330.547,1330.533,1330.346,1330.215,1330.181,1330.202,1330.008,1329.912,1329.94,1329.837,1329.806,1329.72,1329.679,1329.53,1329.552,1329.546,1329.522,1329.482,1329.537,1329.572,1329.507,1329.528,1329.529,1329.42,,,,,,,,,,,,,,
604,116711.2,,,,,,,,,,,,,,,,,,,20,19.91,19.89,18.72,17.88,17.86,16.47,16.45,14.68,14.67,14.64,13.03,11.37,11.3,3.89,3.82,3.79,3.67,1.06,0.45,0,0.86,0.98,1.23,2.22,3.78,4.05,4.1,4.5,6.08,6.14,7.59,8.13,8.57,8.68,9.35,10.34,10.45,12.02,12.51,13.95,14.04,16.38,17.9,18.1,19.56,19.68,19.87,20,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1330.793,1330.726,1330.803,1330.634,1330.65,1330.695,1330.992,1330.981,1331.399,1331.4,1331.411,1331.446,1331.532,1331.451,1331.459,1331.436,1331.45,1331.431,1331.23,1331.269,1331.41,1330.929,1330.94,1330.854,1330.636,1330.578,1330.573,1330.539,1330.469,1330.55,1330.526,1330.445,1330.486,1330.409,1330.404,1330.445,1330.352,1330.347,1330.351,1330.384,1330.183,1330.13,1330.188,1330.23,1330.143,1330.083,1330.116,1330.062,1330.088,,,,,,,,,,,
605,116720,,,,,,,,,,,,,,,,,,,,,20,19.82,19.27,18.85,18.36,18.02,17.55,16.98,16.33,15.6,14.96,12.43,11.16,6.1,3.93,1.87,0.94,0.18,0,1.14,1.54,1.81,8.47,9.02,9.35,10.3,11.87,12.27,12.41,13.44,14.09,18.34,20,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1330.738,1330.735,1330.738,1330.608,1330.567,1330.632,1330.473,1330.675,1330.957,1331.052,1331.172,1331.265,1331.315,1331.251,1331.337,1331.162,1331.137,1330.974,1331.185,1330.786,1330.666,1330.679,1330.214,1330.124,1330.164,1330.135,1330.179,1330.146,1330.136,1330.057,1330.004,1329.947,1329.833,,,,,,,,,,,,,,,,,,,,,,,,,
606,116724.46,,,,,,,,,,,,,,,,,,20,19.1,18.94,18.32,18.18,18.08,17.4,17.24,16.27,16.07,15.11,11.3,11.04,7.05,3.94,3.49,3.38,3.02,1.34,0.84,0.22,0,1.26,1.3,1.46,1.62,3.04,4.43,4.76,6.56,6.85,8.55,8.74,9.77,10.38,11.43,13.12,13.44,14.82,14.87,15.68,16.24,16.27,18.24,18.54,18.69,18.92,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1330.706,1330.701,1330.625,1330.56,1330.593,1330.567,1330.435,1330.414,1330.909,1330.897,1331.102,1331.2,1331.235,1331.174,1331.175,1331.172,1331.179,1331.039,1331.054,1330.98,1330.831,1330.998,1330.567,1330.595,1330.578,1330.491,1330.48,1330.427,1330.381,1330.32,1330.237,1330.187,1330.159,1330.175,1330.204,1330.098,1330.087,1329.984,1330.008,1330.029,1329.958,1330.005,1330.024,1329.801,1329.702,1329.715,1329.778,1329.693,,,,,,,,,,,,,
607,116740.48,,,,,,,,,,,,,,,,,,,,20,19.39,19.02,17.65,17.2,15.73,15.51,15.11,11.42,10.76,4.6,3.81,3.43,3.35,3.25,2.03,0.76,0.53,0.26,0,0.39,0.58,0.68,2.82,2.98,3.01,3.02,3.04,3.14,3.25,9.59,9.78,12.43,13.32,13.78,15.46,19.88,20,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1330.528,1330.508,1330.561,1330.826,1330.778,1330.674,1330.689,1330.741,1330.875,1330.917,1330.85,1330.917,1330.83,1330.852,1330.86,1330.698,1330.625,1330.635,1330.575,1330.837,1330.564,1330.503,1330.513,1330.269,1330.193,1330.228,1330.175,1330.204,1330.198,1330.158,1329.727,1329.743,1329.597,1329.592,1329.629,1329.549,1329.374,1329.394,,,,,,,,,,,,,,,,,,,,,
608,116756.75,,,,,,,,,,,,,,,,,,,,20,19.83,19.12,18.58,17.69,17.31,16.88,16.35,15.63,14.83,14.43,12.76,11.15,3.62,3.62,3.62,3.62,3.62,1.17,0,0.26,0.9,1.51,1.87,2.8,3.08,3.65,6.66,7.21,7.98,8.85,10.2,10.84,11.75,12.17,17.39,17.56,17.72,18.3,18.99,20,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1329.951,1329.964,1329.983,1329.927,1330.042,1329.944,1330.112,1330.131,1330.391,1330.487,1330.661,1330.667,1330.73,1330.619,1330.639,1330.659,1330.629,1330.599,1330.435,1330.576,1330.209,1330.002,1329.695,1329.674,1329.55,1329.591,1329.569,1329.422,1329.349,1329.402,1329.417,1329.394,1329.352,1329.338,1329.215,1329.06,1329.012,1329.044,1329.022,1328.933,1328.975,,,,,,,,,,,,,,,,,,
609,116760,,,,,,,,,,,,,,,,,,,20,19.64,19.23,18.47,17.96,17.43,17.19,16.42,15.38,14.92,14.35,13.4,11.07,6.96,3.69,2.32,1.8,1.35,1.22,1.01,0,1.4,1.72,2.35,8.25,8.68,9.22,9.57,10.91,11.46,12.99,13.72,18.19,20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1329.86,1329.825,1329.848,1329.877,1329.854,1329.794,1329.844,1329.892,1330.334,1330.363,1330.597,1330.6,1330.647,1330.578,1330.53,1330.523,1330.613,1330.395,1330.388,1330.384,1330.273,1329.634,1329.601,1329.578,1329.341,1329.376,1329.358,1329.318,1329.255,1329.175,1329.135,1329.096,1328.892,1328.899,,,,,,,,,,,,,,,,,,,,,,,,,,
610,116769.46,,,,,,,,,,,,,,,,,,,,,,20,18.55,18.18,17.48,17.08,16.81,16.43,15.88,15.59,14.47,10.92,4.03,3.87,3.73,3.23,1.33,1.02,0,0.33,1.42,2.09,2.25,4.39,4.56,4.93,5.26,8.37,10.96,12.06,12.35,12.57,13.21,17.22,17.75,18.2,20,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1329.863,1329.862,1329.692,1329.663,1329.635,1329.605,1329.686,1329.854,1329.993,1329.98,1330.508,1330.451,1330.468,1330.366,1330.414,1330.252,1330.327,1330.09,1329.709,1329.416,1329.157,1329.201,1329.138,1329.155,1329.178,1329.112,1329.095,1328.956,1328.98,1328.914,1328.884,1328.957,1328.809,1328.786,1328.69,1328.654,,,,,,,,,,,,,,,,,,,,,
611,116776.74,,,,,,,,,,,,,,,,,,20,19.32,19.03,18.63,17,16.46,15.73,15.37,15.03,14.77,13.13,12.33,10.87,9.66,3.74,2.83,2.22,1.38,1.37,1.34,1.28,0,4.55,6.67,7.52,8.17,8.29,9,11.53,13.12,16.12,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1329.88,1329.833,1329.764,1329.743,1329.701,1329.782,1329.946,1330.019,1330.089,1330.088,1330.096,1330.217,1330.357,1330.392,1330.24,1330.288,1330.154,1330.152,1330.221,1330.249,1330.218,1329.758,1328.846,1328.95,1328.947,1328.938,1328.921,1328.843,1328.746,1328.665,1328.575,1328.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,116780.35,,,,,,,,,,,,,,,,,,,20,16.12,15.55,14.26,13.37,12.56,12.32,12.01,11.86,11.68,11.6,11.55,10.87,9.42,3.7,3.2,2.43,0.79,0.65,0.37,0,1.02,1.43,3.42,3.47,3.52,9.76,10.54,10.7,11.53,15.17,19.44,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1329.921,1329.971,1329.948,1330.046,1330.103,1330.183,1330.234,1330.21,1330.259,1330.317,1330.27,1330.292,1330.29,1330.262,1330.137,1330.147,1329.991,1329.911,1329.814,1329.748,1329.729,1328.854,1328.761,1328.473,1328.536,1328.535,1328.623,1328.64,1328.609,1328.637,1328.554,1328.468,1328.474,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,116787.9,,,,,,,,,,,,,,,,,,,,,,,20,17.35,16.27,16.24,15.55,14.71,14.33,14.11,10.92,4.12,3.82,3.8,3.36,0.4,0.33,0.23,0,0.37,1.46,1.56,2.14,2.43,2.49,4.25,4.34,4.49,5.89,6.38,6.63,8.04,8.85,9.75,10.21,10.98,11.2,14.09,14.62,14.92,16.26,18.3,18.48,19.94,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1329.95,1329.855,1329.857,1329.873,1329.689,1330.084,1330.006,1329.944,1330.259,1330.072,1330.117,1330.087,1329.996,1329.925,1329.875,1329.828,1329.957,1329.531,1329.011,1329.1,1328.973,1328.872,1328.886,1328.888,1328.908,1328.934,1328.831,1328.799,1328.737,1328.538,1328.523,1328.473,1328.327,1328.161,1328.224,1328.279,1328.335,1328.324,1327.939,1328.227,1328.203,1328.251,1328.227,,,,,,,,,,,,,
614,116792.59,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16.48,16.04,16.03,15.69,10.95,5.85,3.82,1.47,1.29,0.79,0.54,0,0.33,1.18,1.48,1.73,3.5,4.48,6.4,6.9,7.03,9.05,9.12,9.18,10.46,11.44,11.73,13.68,14.34,14.48,16.2,17.76,18.08,19.42,19.69,20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1329.63,1329.762,1329.806,1329.783,1329.826,1330.17,1330.065,1329.986,1329.935,1329.871,1329.823,1329.733,1329.801,1329.435,1329.188,1329.065,1329.07,1328.894,1328.757,1328.726,1328.658,1328.634,1328.599,1328.575,1328.607,1328.465,1328.458,1328.393,1328.419,1328.396,1328.336,1328.312,1328.176,1328.222,1328.109,1328.127,1328.118,,,,,,,,,,,,,,,
615,116800,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16.36,15.32,13.93,13.42,12.9,11,9.34,3.8,3.47,1.8,1.18,0,0.27,1.53,2.37,5.45,5.68,5.76,5.89,8.62,8.62,8.62,8.62,8.62,12.05,13.69,14.17,16.39,16.79,17.09,19.59,20,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1329.271,1329.237,1329.478,1329.725,1329.749,1329.908,1330.082,1329.991,1329.978,1329.916,1329.811,1329.687,1329.704,1329.381,1329.008,1328.974,1328.776,1328.755,1328.793,1328.819,1328.744,1328.694,1328.704,1328.744,1328.723,1328.515,1328.582,1328.538,1328.529,1328.455,1328.441,1328.372,1328.406,,,,,,,,,,,,,,,,,,,
616,116806.86,,,,,,,,,,,,,,,,,,,,,,,,,20,18.42,17.1,16.84,16.3,16.04,15.8,14.76,13.96,13.2,10.81,8.99,3.61,0.51,0,0.98,1.36,2.36,3.58,4.1,4.71,5.68,8.8,9,9.47,9.76,11.35,11.64,12.35,13.22,14.26,15.44,20,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1328.825,1328.877,1328.93,1328.894,1328.957,1329.048,1329.047,1329.358,1329.301,1329.495,1329.882,1329.901,1329.852,1329.614,1329.793,1329.292,1329.184,1328.976,1328.979,1328.863,1328.781,1328.711,1328.581,1328.525,1328.586,1328.504,1328.504,1328.569,1328.521,1328.571,1328.497,1328.499,1328.265,,,,,,,,,,,,,,,,,,,,,
617,116815.66,,,,,,,,,,,,,,,,,,,,,,,20,18.96,18.56,17.35,16.16,15.62,14.71,14.27,12.9,12.35,10.25,3.6,3.31,3.03,2.68,0.28,0,1.83,4.36,4.57,6.59,8.73,8.88,12.51,13.2,16.19,19.28,19.59,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1328.726,1328.617,1328.667,1328.603,1328.613,1328.878,1329.145,1329.41,1329.365,1329.505,1329.785,1329.791,1329.768,1329.789,1329.701,1329.46,1329.676,1328.828,1328.675,1328.676,1328.689,1328.561,1328.598,1328.546,1328.486,1328.334,1328.355,1328.324,1328.306,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,116820.98,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.14,18.32,16.09,15.78,13.95,13.06,10.65,10.21,8.49,3.14,2.78,1.56,0,0.47,1.93,3.3,5.15,5.41,6.73,7.43,8.45,9.1,9.87,11.22,12.07,13.64,14.49,16.42,16.9,17.42,20,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1328.524,1328.534,1328.498,1328.718,1328.791,1329.483,1329.763,1329.738,1329.721,1329.758,1329.782,1329.702,1329.665,1329.35,1329.062,1328.661,1328.56,1328.54,1328.535,1328.367,1328.493,1328.371,1328.335,1328.441,1328.354,1328.284,1328.221,1328.184,1328.238,1328.225,1328.226,1328.142,,,,,,,,,,,,,,,,,,,,,
619,116828.58,,,,,,,,,,,,,,,,,,,,,,,,,20,18.93,17.91,16.98,16.13,13.26,12.11,10.51,4.23,3.45,1.24,1.18,1.02,0.78,0,0.35,2.32,3.41,3.56,3.93,5.33,5.87,6.17,6.59,6.66,7.1,7.44,8.95,10.94,11.99,12.97,13.15,16.67,16.95,17.88,18.96,20,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1328.327,1328.228,1328.322,1328.515,1328.837,1329.622,1329.615,1329.696,1329.706,1329.752,1329.578,1329.577,1329.558,1329.443,1329.36,1328.923,1328.195,1328.101,1328.135,1328.178,1328.263,1328.397,1328.385,1328.454,1328.487,1328.401,1328.289,1328.224,1328.312,1328.182,1328.197,1328.193,1328.213,1328.227,1328.131,1328.241,1328.157,,,,,,,,,,,,,,,,,
620,116835.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.44,18.08,16.79,14.93,13.51,13.45,10.8,10.78,10.72,3.41,0,0.73,1.87,2.48,3.39,5.75,6.1,6.64,7.15,7.43,10.96,11.81,15.23,16.61,17.49,19.49,20,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1328.075,1327.991,1328.296,1328.101,1328.808,1329.542,1329.536,1329.666,1329.674,1329.684,1329.716,1328.984,1328.545,1328.192,1328.136,1328.026,1327.925,1327.774,1327.85,1327.825,1327.754,1327.663,1327.753,1327.996,1328.037,1327.952,1327.927,1327.971,,,,,,,,,,,,,,,,,,,,,,,
621,116840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.44,18.53,17.41,15.47,13.34,11.42,10.6,7.39,3.35,0,0.59,1.18,1.62,2.64,3.64,5.17,5.47,5.81,6.06,6.15,7.32,9.7,11.85,12.41,16.16,16.55,16.78,20,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1328.003,1327.979,1328.14,1327.93,1328.956,1329.163,1329.225,1329.638,1329.74,1329.716,1328.993,1328.615,1328.521,1328.293,1327.995,1327.938,1327.944,1327.879,1327.854,1327.788,1327.726,1327.627,1327.789,1327.85,1327.732,1327.813,1327.737,1327.863,1327.819,,,,,,,,,,,,,,,,,,,,,
622,116847.34,,,,,,,,,,,,,,,,,,,,,,,,,20,19.87,19.66,19.43,19.28,19.1,18.78,13.16,12.46,10.3,4.41,3.26,2.51,2.29,0,0.39,1.38,2.13,3.26,3.27,3.32,3.36,6.75,6.79,7.81,8.12,9.62,9.98,10.22,11.92,13.74,14.15,16.15,19.49,19.5,19.53,19.54,19.59,20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1327.945,1327.889,1327.902,1327.878,1327.923,1327.855,1328.03,1328.438,1328.464,1329.589,1329.609,1329.71,1329.107,1329.06,1329.179,1328.868,1328.707,1328.373,1327.718,1327.697,1327.745,1327.759,1327.36,1327.384,1327.416,1327.422,1327.319,1327.237,1327.273,1327.24,1327.09,1327.083,1327.062,1327.243,1327.164,1327.194,1327.215,1327.191,1327.339,,,,,,,,,,,,,,,
623,116854.5,,,,,,,,,,,,,,,,20,18.85,16.73,16.53,16.47,16.09,15.77,15.67,14.67,13.91,13.1,13,12.91,12.33,11.89,11.25,10,8.62,3.24,1.28,0.86,0.48,0.34,0,0.13,0.53,0.64,1.31,2.29,2.84,3.57,5.54,6.4,7.72,7.88,8.26,14.07,14.16,16.15,19.15,19.48,20,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1327.902,1327.825,1327.754,1327.67,1327.78,1327.823,1327.882,1327.862,1327.817,1327.752,1327.659,1328.305,1328.308,1328.101,1328.345,1328.942,1329.521,1329.59,1329.584,1328.087,1327.542,1327.482,1327.418,1327.501,1327.157,1326.989,1326.936,1326.96,1327.009,1327.032,1327.131,1326.957,1326.871,1327.026,1327.14,1327.178,1326.814,1326.808,1327.151,1327.202,1327.199,1327.138,,,,,,,,,,,,,,,,,,,,,
624,116858.47,,,,,,,,,,,,,,,,,,20,19.27,17.55,15.94,15.59,15.51,15.25,10.5,10.38,10.14,10.1,9.9,5.07,3.23,2.95,2.88,2.82,2.66,0.75,0.57,0.26,0,0.33,0.41,2.51,2.96,3.15,3.47,4.4,5.34,6.64,6.66,6.69,6.72,6.82,7.26,7.65,9.93,10,10.14,10.16,10.51,11.02,11.31,12.58,12.75,12.84,13.08,15.2,19.1,19.25,19.52,19.61,20,,,,,,,
,,,,,,,,,,,,,,,,,,,1327.903,1327.886,1327.789,1327.875,1327.863,1327.93,1327.897,1329.444,1329.422,1329.534,1329.493,1329.599,1329.575,1329.527,1329.317,1329.23,1329.209,1329.132,1328.8,1328.788,1328.633,1328.796,1328.4,1328.37,1327.986,1327.713,1327.672,1327.6,1327.612,1327.206,1326.728,1326.796,1326.779,1326.836,1326.891,1326.928,1326.598,1326.719,1326.814,1326.747,1326.708,1326.702,1326.673,1326.794,1326.78,1326.736,1326.7,1326.769,1326.787,1326.793,1326.696,1326.721,1326.737,1326.735,,,,,,,
625,116863.48,,,,,,,,,,,,,,,,,,,,,,,,20,19.8,18.58,17.44,16.5,16.28,15.59,12.18,11.69,10.8,10.65,9.89,4.94,3.23,0.88,0,0.43,0.93,2,4.03,4.83,6.3,7.31,7.94,8.69,10.1,10.55,11.96,12.63,13.3,13.38,16.25,17.81,18.04,18.58,19.17,20,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1328.047,1327.957,1327.968,1328.017,1327.96,1327.946,1328.031,1329.056,1329.116,1329.519,1329.537,1329.617,1329.583,1329.568,1328.835,1329.114,1328.884,1328.659,1328.061,1327.729,1327.843,1327.78,1327.838,1327.843,1327.923,1327.244,1327.231,1327.108,1327.257,1327.144,1327.016,1326.635,1326.512,1326.509,1326.592,1326.454,1326.369,,,,,,,,,,,,,,,,,,
626,116872.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,18.06,17.61,16.17,15.04,13.95,11.92,11.58,9.85,8.31,3.23,0,1.77,2.48,2.81,4.44,6.59,6.98,10.35,11.47,11.48,11.49,11.57,13,20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1328.137,1327.987,1328.052,1328.135,1328.49,1328.556,1329.457,1329.461,1329.557,1329.64,1329.556,1328.897,1328.182,1327.897,1327.792,1327.601,1327.507,1327.53,1327.315,1327.234,1327.213,1327.281,1327.302,1327.296,1327.012,,,,,,,,,,,,,,,,,,,,,,,,,,
627,116880,,,,,,,,,,,,,,,20,19.84,19.45,18.1,17.68,17.33,16.29,16.02,15.75,15.38,13.36,12.92,12.47,11.97,11.61,9.83,6.09,3.23,1.82,1.62,1.4,1.02,0.75,0.39,0,1.41,1.87,2.6,3.46,3.88,4.17,5.98,6.9,7.68,10.29,10.54,10.96,12.61,13.36,19.14,19.92,20,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1328.211,1328.226,1328.239,1328.327,1328.198,1328.303,1328.367,1328.275,1328.339,1328.364,1329.258,1329.21,1329.405,1329.473,1329.417,1329.535,1329.536,1329.565,1329.115,1329.027,1329.048,1328.915,1328.857,1328.686,1328.951,1328.682,1328.619,1328.362,1327.992,1327.762,1327.693,1327.58,1327.515,1327.399,1327.225,1327.246,1327.2,1327.257,1327.225,1327.093,1326.945,1326.977,,,,,,,,,,,,,,,,,,,,,,
628,116893.72,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.32,18.2,15.14,14.23,13.95,12.42,10.07,10.02,9.79,8.71,2.54,0,2.41,2.86,4.3,5.48,7.75,8.66,12.98,18.57,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1328.458,1328.288,1328.299,1328.604,1328.829,1328.772,1329.407,1329.462,1329.511,1329.51,1329.461,1329.327,1328.965,1328.058,1327.992,1327.766,1327.563,1327.498,1327.451,1327.344,1327.409,1327.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,116901.2,,,,,,,,,,,,,,,,,,,,,,,,20,19.61,17.14,14.72,12.1,11.46,11.34,11.15,10.58,10.22,9.68,2.52,2.18,0.88,0.64,0,0.26,0.49,0.83,0.95,2.03,2.04,2.06,2.08,3.64,4.71,6.44,8.05,8.41,8.88,9.45,14.85,17.26,17.57,18.19,19.42,20,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1328.5,1328.566,1328.716,1329.471,1329.453,1329.522,1329.518,1329.523,1329.447,1329.509,1329.457,1329.317,1329.318,1329.052,1328.994,1329.243,1329.047,1329.07,1328.866,1328.792,1328.228,1328.24,1328.223,1328.27,1328.14,1328.006,1327.983,1328.013,1327.897,1327.909,1327.842,1327.764,1327.767,1327.754,1327.734,1327.598,1327.573,,,,,,,,,,,,,,,,,,
630,116920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,17.3,16.74,15.91,13.37,11.75,9.32,5.91,2.18,0,0.72,15.06,19.9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1329.536,1329.854,1329.704,1329.514,1329.366,1329.345,1329.397,1329.371,1329.309,1329.163,1328.812,1328.137,1327.934,1327.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,116939.38,,,,,,,,,,,,,,,,,,,,,,,,20,17.09,14.57,14.03,9.95,9.75,9.67,9.27,9.2,9.04,2.18,2.18,2.18,0.47,0.19,0,0.72,2.93,5.27,5.65,8.28,13.72,16.82,19.67,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1329.57,1329.301,1329.359,1329.345,1329.384,1329.311,1329.346,1329.375,1329.376,1329.379,1329.38,1329.35,1329.4,1329.249,1329.246,1329.474,1329.199,1328.961,1328.502,1328.375,1328.41,1328.202,1328.161,1327.96,1328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,116960,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.81,18.52,16.57,15.74,11.73,11.04,9.43,6.52,2.17,0.93,0,12.97,17.79,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1329.484,1329.392,1329.474,1329.582,1329.506,1329.498,1329.303,1329.439,1329.452,1329.352,1329.217,1329.45,1328.42,1328.15,1328.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,116972.93,,,,,,,,,,,,,,,,,,,,,,,20,19.61,17.87,17.34,17.25,16.28,15.16,14.93,14.77,14.38,13.27,12.19,9.67,9.24,2.16,1.76,0,2.75,16.99,17.07,17.11,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1329.589,1329.598,1329.738,1329.596,1329.639,1329.729,1329.61,1329.604,1329.594,1329.465,1329.543,1329.394,1329.37,1329.382,1329.236,1329.288,1329.399,1329.009,1328.292,1328.22,1328.249,1328.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
