No,Distance,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,CL,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,end
26,108080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,11.72,11.44,0,8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1457.647,1457.274,1457.316,1457.257,1456.677,1456.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,108120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16.42,16.03,10.27,0,5.36,5.37,17.2,17.21,17.22,17.23,19.21,19.21,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1457.252,1457.078,1457.004,1456.917,1456.89,1456.402,1456.442,1456.217,1456.27,1456.248,1456.266,1456.752,1456.812,1456.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,108160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,18.3,18.21,8.75,8.7,0.33,0,7.98,8.01,8.08,12.99,15.12,19.38,19.42,19.47,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456.847,1456.644,1456.661,1456.408,1456.367,1456.297,1456.512,1455.874,1455.853,1455.796,1456.578,1456.222,1454.914,1454.894,1454.845,1454.858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,108200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15.27,15.17,15.02,0,0.96,6.53,6.55,6.55,9.97,10.01,13.27,13.29,14.51,16.01,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456.312,1456.184,1456.119,1456.194,1456.055,1455.803,1455.741,1455.786,1455.732,1456.19,1456.101,1455.35,1455.389,1454.626,1454.767,1455.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,108240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,18.06,17.91,17.91,17.43,4.14,4.02,2.54,0,1.79,1.95,3.67,6.7,6.74,7.89,8.47,11.07,11.08,14.05,14.05,14.06,14.07,20,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456.065,1456.028,1455.942,1455.962,1455.936,1455.555,1455.572,1455.563,1455.621,1455.514,1455.561,1456.282,1455.376,1455.328,1454.61,1454.679,1454.797,1454.775,1454.658,1454.716,1454.706,1454.688,1454.764,,,,,,,,,,,,,,,,,,,,,,,,,
31,108280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,17.84,11.41,10.24,10.21,10.2,9.83,2.53,1.06,0,0.67,1.17,2.63,4.53,6.23,8.98,9.09,9.19,9.28,16.67,16.7,16.71,20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1455.464,1455.524,1455.537,1455.626,1455.621,1455.595,1455.367,1455.289,1455.532,1455.548,1455.218,1455.021,1454.356,1454.005,1454.36,1454.477,1454.485,1454.478,1454.497,1454.511,1454.589,1454.557,1454.298,,,,,,,,,,,,,,,,,,,,,,,,,,
