Station Offset to Points Report,,,,
,,,,
Client:,Prepared by:,,,
Client,Preparer,,,
Client Company,Your Company Name,,,
Address 1,123 Main Street,,,
Date: 7/6/2024 8:45:25 AM,,,,
,,,,
,,,,
Alignment Name: massir asli d10,,,,
Description:,,,,
"Station Range: Start: 0+000.00, End: 21+556.62",,,,
,,,,
Point,Station,Offset,Elevation,Description
398,20+159.97,-7.608m,"1,270.840m",
399,20+159.97,-6.495m,"1,270.887m",
400,20+159.97,-3.188m,"1,270.971m",
401,20+159.97,0.063m,"1,270.949m",
402,20+159.99,0.613m,"1,270.878m",
403,20+160.00,0.938m,"1,270.914m",
404,20+159.92,4.106m,"1,270.777m",
405,20+160.01,5.554m,"1,271.225m",
406,20+160.00,7.207m,"1,271.807m",
407,20+159.97,9.896m,"1,270.432m",
408,20+160.02,10.785m,"1,269.974m",
409,20+160.04,14.908m,"1,269.843m",
410,20+140.06,-14.860m,"1,268.997m",
411,20+139.94,-9.238m,"1,269.641m",
412,20+139.96,-8.775m,"1,269.748m",
413,20+140.04,-7.756m,"1,269.839m",
414,20+139.91,-6.916m,"1,269.827m",
415,20+139.98,-6.653m,"1,269.876m",
416,20+140.01,-3.384m,"1,269.947m",
417,20+140.02,-1.005m,"1,269.925m",
418,20+139.99,0.046m,"1,269.920m",
419,20+139.98,0.320m,"1,269.926m",
420,20+140.03,4.674m,"1,270.861m",
421,20+140.03,6.313m,"1,269.587m",
422,20+140.04,7.229m,"1,269.186m",
423,20+140.09,7.578m,"1,269.241m",
424,20+140.00,10.736m,"1,269.115m",
425,20+139.97,14.785m,"1,269.139m",
426,20+119.93,-14.979m,"1,268.080m",
427,20+120.04,-12.481m,"1,267.899m",
428,20+120.03,-11.014m,"1,267.993m",
429,20+120.04,-8.831m,"1,268.733m",
430,20+120.00,-7.271m,"1,268.839m",
431,20+119.99,-7.067m,"1,268.881m",
432,20+120.01,-3.627m,"1,268.913m",
433,20+120.01,-0.289m,"1,268.864m",
434,20+120.02,0.003m,"1,268.817m",
435,20+120.01,1.341m,"1,268.745m",
436,20+120.01,3.387m,"1,270.089m",
437,20+120.01,5.863m,"1,268.718m",
438,20+119.98,7.605m,"1,268.691m",
439,20+119.93,7.924m,"1,268.693m",
440,20+119.98,10.658m,"1,268.596m",
441,20+119.96,13.723m,"1,267.981m",
442,20+119.97,14.956m,"1,267.861m",
443,20+100.02,-14.918m,"1,267.249m",
444,20+100.02,-8.811m,"1,267.706m",
445,20+100.00,-7.418m,"1,267.817m",
446,20+100.01,-3.770m,"1,267.859m",
447,20+100.00,-0.567m,"1,267.768m",
448,20+100.01,-0.307m,"1,267.710m",
449,20+100.01,0.013m,"1,267.690m",
450,20+100.02,5.367m,"1,267.552m",
451,20+100.02,3.015m,"1,267.627m",
452,20+099.98,3.269m,"1,267.600m",
453,20+100.00,6.894m,"1,267.570m",
454,20+099.99,7.363m,"1,267.671m",
455,20+100.02,7.824m,"1,267.624m",
456,20+100.01,10.806m,"1,266.932m",
457,20+100.03,14.971m,"1,267.160m",
458,20+080.01,-15.045m,"1,266.941m",
459,20+080.01,-14.040m,"1,266.519m",
460,20+080.00,-12.704m,"1,266.502m",
461,20+079.99,-12.015m,"1,266.538m",
462,20+079.96,-9.343m,"1,266.801m",
463,20+080.01,-7.793m,"1,266.894m",
464,20+080.00,-8.005m,"1,266.855m",
465,20+080.00,-4.277m,"1,266.898m",
466,20+080.01,-1.066m,"1,266.839m",
467,20+080.02,0.011m,"1,266.817m",
468,20+080.02,0.676m,"1,266.783m",
469,20+080.01,3.870m,"1,266.496m",
470,20+080.01,5.643m,"1,266.290m",
471,20+080.02,9.669m,"1,265.966m",
472,20+080.02,14.181m,"1,265.929m",
473,20+079.99,14.965m,"1,266.068m",
474,20+060.03,-14.952m,"1,265.688m",
475,20+060.00,-11.512m,"1,266.048m",
476,20+060.01,-10.922m,"1,265.998m",
477,20+060.04,-9.630m,"1,265.935m",
478,20+060.03,-6.132m,"1,265.987m",
479,20+059.99,-3.337m,"1,265.940m",
480,20+060.01,0.030m,"1,266.024m",
481,20+060.00,0.661m,"1,266.172m",
482,20+060.00,2.128m,"1,265.216m",
483,20+060.02,4.909m,"1,265.080m",
484,20+060.02,6.697m,"1,265.096m",
485,20+060.02,8.746m,"1,265.245m",
486,20+060.01,11.045m,"1,265.151m",
487,20+060.01,12.325m,"1,265.149m",
488,20+039.99,-14.961m,"1,265.037m",
489,20+040.00,-12.638m,"1,265.012m",
490,20+040.04,-10.625m,"1,264.970m",
491,20+039.96,-9.605m,"1,264.978m",
492,20+039.96,-8.482m,"1,264.971m",
493,20+040.02,-7.553m,"1,264.997m",
494,20+040.08,-5.592m,"1,265.018m",
495,20+040.09,-4.559m,"1,265.025m",
496,20+040.05,-3.681m,"1,265.037m",
497,20+040.01,-2.029m,"1,264.835m",
498,20+040.02,-0.093m,"1,264.660m",
499,20+040.01,0.008m,"1,264.659m",
500,20+039.99,2.292m,"1,264.513m",
501,20+040.02,4.607m,"1,264.530m",
502,20+039.94,3.438m,"1,264.462m",
503,20+039.98,7.625m,"1,264.262m",
504,20+040.01,8.498m,"1,264.346m",
505,20+040.06,11.761m,"1,264.917m",
506,20+040.01,13.056m,"1,264.642m",
507,20+040.02,14.232m,"1,264.773m",
508,20+039.95,14.968m,"1,264.669m",
509,20+040.02,9.988m,"1,264.607m",
510,20+040.00,11.000m,"1,264.806m",
511,20+019.98,-14.898m,"1,263.920m",
512,20+020.05,-11.791m,"1,263.923m",
