Station Offset to Points Report,,,,
,,,,
Client:,Prepared by:,,,
Client,Preparer,,,
Client Company,Your Company Name,,,
Address 1,123 Main Street,,,
Date: 7/6/2024 8:45:25 AM,,,,
,,,,
,,,,
Alignment Name: massir asli d10,,,,
Description:,,,,
"Station Range: Start: 0+000.00, End: 21+556.62",,,,
,,,,
Point,Station,Offset,Elevation,Description
12656,7+259.92,-11.212m,"1,219.026m",
12657,7+259.89,-9.724m,"1,218.994m",
12658,7+260.03,-7.938m,"1,218.881m",
12659,7+260.01,-5.867m,"1,218.873m",
12660,7+260.18,-4.011m,"1,218.919m",
12661,7+260.28,-3.049m,"1,218.961m",
12662,7+260.11,-2.593m,"1,219.075m",
12663,7+260.16,-2.112m,"1,219.010m",
12664,7+260.01,-1.244m,"1,218.983m",
12665,7+259.98,0.074m,"1,218.941m",
12666,7+260.07,2.011m,"1,218.839m",
12667,7+260.46,3.601m,"1,218.704m",
12668,7+260.11,6.533m,"1,218.575m",
12669,7+260.07,8.363m,"1,218.435m",
12670,7+259.99,9.491m,"1,218.387m",
12671,7+260.00,10.707m,"1,218.376m",
12672,7+259.94,11.784m,"1,218.434m",
12673,7+260.11,13.810m,"1,218.418m",
12674,7+260.04,14.767m,"1,218.430m",
12675,7+240.01,-14.856m,"1,220.446m",
12676,7+240.06,-13.307m,"1,220.465m",
12677,7+239.94,-12.184m,"1,220.504m",
12678,7+239.95,-11.118m,"1,220.505m",
12679,7+239.93,-10.244m,"1,220.552m",
12680,7+240.05,-9.839m,"1,220.700m",
12681,7+240.10,-9.528m,"1,220.671m",
12682,7+239.93,-8.717m,"1,220.617m",
12683,7+239.83,-8.056m,"1,220.703m",
12684,7+239.98,-7.168m,"1,220.670m",
12685,7+240.15,-5.918m,"1,220.702m",
12686,7+240.29,-4.860m,"1,220.814m",
12687,7+240.02,-3.680m,"1,220.747m",
12688,7+240.15,-2.450m,"1,220.779m",
12689,7+239.99,-1.398m,"1,220.784m",
12690,7+239.96,-0.766m,"1,220.666m",
12691,7+240.03,0.029m,"1,220.448m",
12692,7+240.05,1.095m,"1,220.439m",
12693,7+239.88,1.906m,"1,220.520m",
12694,7+240.01,2.310m,"1,220.458m",
12695,7+239.94,3.575m,"1,220.390m",
12696,7+239.96,5.465m,"1,220.409m",
12697,7+240.26,6.708m,"1,220.508m",
12698,7+240.11,7.880m,"1,220.439m",
12699,7+240.03,8.904m,"1,220.422m",
12700,7+239.97,12.762m,"1,220.316m",
12701,7+240.01,14.894m,"1,220.329m",
12702,7+220.02,-14.970m,"1,221.667m",
12703,7+219.98,-13.904m,"1,221.683m",
12704,7+219.99,-12.666m,"1,221.846m",
12705,7+220.04,-11.695m,"1,221.976m",
12706,7+219.94,-11.084m,"1,222.112m",
12707,7+219.96,-10.742m,"1,222.135m",
12708,7+219.99,-10.019m,"1,222.062m",
12709,7+220.03,-6.497m,"1,222.164m",
12710,7+220.00,-3.811m,"1,222.330m",
12711,7+220.16,-3.357m,"1,222.451m",
12712,7+219.98,-2.212m,"1,222.269m",
12713,7+219.95,-1.278m,"1,222.176m",
12714,7+219.95,-0.003m,"1,222.200m",
12715,7+220.03,1.501m,"1,222.272m",
12716,7+219.92,2.587m,"1,222.248m",
12717,7+219.91,4.568m,"1,222.274m",
12718,7+219.87,6.397m,"1,222.333m",
12719,7+220.07,8.717m,"1,222.342m",
12720,7+220.07,9.898m,"1,222.317m",
12721,7+220.00,10.717m,"1,222.289m",
12722,7+220.02,10.964m,"1,222.236m",
12723,7+220.04,12.488m,"1,222.161m",
12724,7+220.12,14.086m,"1,222.163m",
12725,7+219.99,14.926m,"1,222.199m",
12726,7+199.95,-14.751m,"1,223.377m",
12727,7+200.15,-12.838m,"1,223.419m",
12728,7+200.00,-11.130m,"1,223.527m",
12729,7+199.96,-9.207m,"1,223.824m",
12730,7+200.04,-7.850m,"1,223.842m",
12731,7+200.03,-6.403m,"1,223.918m",
12732,7+199.99,-5.890m,"1,223.914m",
12733,7+199.95,-5.282m,"1,223.967m",
12734,7+200.03,-4.554m,"1,223.866m",
12735,7+200.06,-1.333m,"1,223.963m",
12736,7+200.01,-0.096m,"1,224.008m",
12737,7+199.93,1.996m,"1,224.131m",
12738,7+200.00,2.761m,"1,224.130m",
12739,7+199.88,4.490m,"1,223.972m",
12740,7+199.74,5.876m,"1,223.984m",
12741,7+200.10,7.281m,"1,223.902m",
12742,7+200.03,9.527m,"1,223.847m",
12743,7+199.94,10.400m,"1,223.816m",
12744,7+200.08,11.739m,"1,223.789m",
12745,7+200.03,12.976m,"1,223.796m",
12746,7+200.09,14.902m,"1,223.748m",
12747,7+179.88,-14.892m,"1,224.849m",
12748,7+180.03,-13.845m,"1,224.937m",
12749,7+179.87,-12.598m,"1,224.948m",
12750,7+179.97,-10.889m,"1,225.006m",
12751,7+179.98,-9.282m,"1,225.053m",
12752,7+179.93,-7.910m,"1,225.045m",
12753,7+179.84,-6.370m,"1,225.144m",
12754,7+179.95,-5.346m,"1,225.280m",
12755,7+179.87,-4.647m,"1,225.356m",
12756,7+179.90,-3.879m,"1,225.493m",
12757,7+180.05,-3.483m,"1,225.376m",
12758,7+180.11,-2.599m,"1,225.386m",
12759,7+179.99,-1.673m,"1,225.547m",
12760,7+179.94,-0.855m,"1,225.789m",
12761,7+179.97,0.065m,"1,225.706m",
12762,7+179.96,3.256m,"1,225.812m",
12763,7+180.06,5.769m,"1,225.839m",
12764,7+180.04,6.455m,"1,226.010m",
12765,7+180.08,7.434m,"1,225.852m",
12766,7+180.10,8.142m,"1,225.737m",
12767,7+180.18,8.990m,"1,225.574m",
12768,7+180.11,10.399m,"1,225.504m",
12769,7+180.13,11.662m,"1,225.445m",
12770,7+180.25,12.533m,"1,225.402m",
12771,7+180.16,14.379m,"1,225.351m",
12772,7+179.93,14.990m,"1,225.394m",
12773,7+160.06,-14.606m,"1,226.731m",
12774,7+160.19,-12.241m,"1,226.845m",
12775,7+160.08,-9.834m,"1,226.986m",
12776,7+160.13,-7.944m,"1,227.044m",
12777,7+160.15,-6.325m,"1,227.089m",
12778,7+160.24,-4.199m,"1,227.198m",
12779,7+160.25,-2.333m,"1,227.330m",
12780,7+160.08,-0.953m,"1,227.369m",
12781,7+159.99,0.014m,"1,227.473m",
12782,7+159.91,0.580m,"1,227.651m",
12783,7+160.26,1.647m,"1,227.834m",
12784,7+160.11,2.472m,"1,227.895m",
12785,7+160.06,2.908m,"1,227.912m",
12786,7+160.12,3.358m,"1,227.818m",
12787,7+160.01,6.438m,"1,227.851m",
12788,7+160.00,9.320m,"1,227.865m",
12789,7+159.98,9.721m,"1,228.031m",
12790,7+160.06,10.136m,"1,227.894m",
12791,7+159.94,10.984m,"1,227.675m",
12792,7+159.97,12.142m,"1,227.611m",
12793,7+160.05,13.229m,"1,227.512m",
12794,7+160.06,14.115m,"1,227.428m",
12795,7+160.15,15.049m,"1,227.421m",
12796,7+139.99,-14.855m,"1,228.818m",
12797,7+139.93,-14.018m,"1,228.901m",
12798,7+139.94,-13.439m,"1,228.991m",
12799,7+140.03,-13.118m,"1,228.894m",
12800,7+140.02,-11.158m,"1,228.772m",
12801,7+139.94,-10.073m,"1,228.805m",
12802,7+140.04,-8.807m,"1,228.901m",
12803,7+140.06,-7.189m,"1,229.006m",
12804,7+140.01,-5.407m,"1,229.108m",
12805,7+140.11,-3.314m,"1,229.209m",
12806,7+140.16,-1.671m,"1,229.490m",
12807,7+140.04,-0.824m,"1,229.608m",
12808,7+140.08,0.087m,"1,229.608m",
12809,7+140.02,2.117m,"1,229.650m",
12810,7+140.42,3.483m,"1,229.605m",
12811,7+140.20,4.624m,"1,229.789m",
12812,7+140.04,5.294m,"1,230.069m",
12813,7+140.01,5.636m,"1,230.108m",
12814,7+140.01,6.463m,"1,229.983m",
12815,7+140.14,9.560m,"1,230.025m",
12816,7+140.06,12.357m,"1,230.131m",
12817,7+140.01,12.734m,"1,230.235m",
12818,7+139.99,14.328m,"1,229.928m",
12819,7+140.04,14.931m,"1,229.948m",
12820,7+099.86,-14.901m,"1,232.993m",
12821,7+100.00,-13.682m,"1,232.983m",
12822,7+100.09,-12.299m,"1,232.887m",
12823,7+100.08,-11.053m,"1,233.019m",
12824,7+100.08,-10.003m,"1,233.192m",
12825,7+100.18,-8.350m,"1,233.040m",
12826,7+099.78,-6.256m,"1,233.112m",
12827,7+099.87,-4.873m,"1,233.123m",
12828,7+100.27,-3.079m,"1,233.204m",
12829,7+100.14,-1.656m,"1,233.354m",
12830,7+100.11,-0.756m,"1,233.479m",
12831,7+100.01,-0.037m,"1,233.517m",
12832,7+100.05,2.170m,"1,233.572m",
12833,7+099.86,3.878m,"1,233.561m",
12834,7+099.92,4.644m,"1,233.579m",
12835,7+099.93,6.041m,"1,233.583m",
12836,7+099.96,7.242m,"1,233.499m",
12837,7+100.01,8.398m,"1,233.460m",
12838,7+100.07,8.970m,"1,233.504m",
12839,7+100.09,9.511m,"1,233.453m",
12840,7+099.95,10.469m,"1,233.377m",
12841,7+100.01,11.626m,"1,233.587m",
12842,7+100.03,12.632m,"1,233.293m",
12843,7+100.01,14.853m,"1,233.314m",
12844,7+060.11,-14.777m,"1,237.906m",
12845,7+060.39,-12.534m,"1,237.620m",
12846,7+060.10,-9.177m,"1,237.223m",
12847,7+060.15,-6.114m,"1,236.930m",
12848,7+060.16,-4.328m,"1,236.816m",
12849,7+060.04,-2.830m,"1,236.733m",
12850,7+060.09,-1.673m,"1,236.626m",
12851,7+060.20,-0.875m,"1,236.501m",
12852,7+059.99,0.096m,"1,236.420m",
12853,7+059.80,1.218m,"1,236.421m",
12854,7+059.98,2.663m,"1,236.337m",
12855,7+060.12,4.272m,"1,236.294m",
12856,7+060.10,6.103m,"1,236.438m",
12857,7+060.11,7.499m,"1,236.443m",
12858,7+059.98,8.728m,"1,236.415m",
12859,7+060.02,10.859m,"1,236.386m",
12860,7+059.98,12.345m,"1,236.402m",
12861,7+060.00,13.546m,"1,236.407m",
12862,7+059.85,14.894m,"1,236.527m",
12863,7+019.92,-14.691m,"1,241.109m",
12864,7+019.86,-12.231m,"1,241.545m",
12865,7+019.97,-9.451m,"1,241.654m",
12866,7+019.98,-6.614m,"1,241.403m",
12867,7+019.99,-3.312m,"1,241.271m",
12868,7+020.07,-1.344m,"1,241.357m",
12869,7+020.03,-0.054m,"1,241.422m",
12870,7+020.14,1.870m,"1,241.420m",
12871,7+020.08,4.330m,"1,241.325m",
12872,7+020.12,5.607m,"1,241.294m",
12873,7+020.08,6.041m,"1,241.269m",
12874,7+020.00,6.910m,"1,241.052m",
12875,7+019.97,8.666m,"1,241.051m",
12876,7+020.00,9.943m,"1,240.982m",
12877,7+020.03,11.144m,"1,240.881m",
12878,7+020.03,12.465m,"1,240.801m",
12879,7+019.98,14.145m,"1,240.468m",
12880,7+020.01,14.956m,"1,240.564m",
12881,6+980.08,-14.796m,"1,244.672m",
12882,6+980.17,-12.764m,"1,244.847m",
12883,6+980.02,-10.381m,"1,245.055m",
12884,6+980.12,-8.442m,"1,245.200m",
12885,6+979.98,-6.673m,"1,245.208m",
12886,6+980.03,-4.357m,"1,245.100m",
12887,6+979.97,-2.634m,"1,244.962m",
12888,6+979.85,-0.959m,"1,244.805m",
12889,6+980.02,-0.011m,"1,244.726m",
12890,6+979.92,1.995m,"1,244.706m",
12891,6+979.97,3.945m,"1,244.571m",
12892,6+980.00,5.681m,"1,244.510m",
12893,6+980.08,7.289m,"1,244.359m",
12894,6+980.00,8.893m,"1,244.529m",
12895,6+980.00,11.280m,"1,244.420m",
12896,6+979.99,13.240m,"1,244.330m",
12897,6+979.98,14.893m,"1,244.327m",
12898,6+940.02,-14.911m,"1,248.036m",
12899,6+939.93,-12.385m,"1,247.850m",
12900,6+940.04,-9.560m,"1,247.664m",
12901,6+939.96,-7.282m,"1,247.615m",
12902,6+940.11,-5.259m,"1,247.494m",
12903,6+940.05,-3.537m,"1,247.467m",
12904,6+940.12,-1.622m,"1,247.351m",
12905,6+940.04,-0.903m,"1,247.362m",
12906,6+940.04,-0.017m,"1,247.313m",
12907,6+940.08,1.354m,"1,247.305m",
12908,6+940.02,2.923m,"1,247.322m",
12909,6+940.01,4.364m,"1,247.323m",
12910,6+939.80,6.297m,"1,247.233m",
12911,6+939.86,7.633m,"1,247.278m",
12912,6+939.96,9.359m,"1,247.284m",
12913,6+939.92,10.681m,"1,247.197m",
12914,6+939.97,11.438m,"1,247.255m",
12915,6+940.06,11.818m,"1,247.319m",
12916,6+939.99,12.442m,"1,247.279m",
12917,6+940.05,13.258m,"1,247.248m",
12918,6+939.92,14.047m,"1,247.167m",
12919,6+940.03,14.852m,"1,247.161m",
12920,6+899.98,-14.709m,"1,250.479m",
12921,6+900.12,-12.592m,"1,250.506m",
12922,6+900.20,-10.772m,"1,250.520m",
12923,6+900.12,-9.013m,"1,250.533m",
12924,6+900.08,-7.172m,"1,250.533m",
12925,6+900.03,-4.775m,"1,250.424m",
12926,6+900.04,-2.330m,"1,250.521m",
12927,6+900.06,-0.712m,"1,250.628m",
12928,6+900.03,-0.004m,"1,250.636m",
12929,6+900.02,2.477m,"1,250.658m",
12930,6+900.05,4.001m,"1,250.679m",
12931,6+900.03,4.922m,"1,250.680m",
12932,6+900.05,5.866m,"1,250.677m",
12933,6+900.08,6.718m,"1,250.727m",
12934,6+900.03,7.307m,"1,250.719m",
12935,6+899.85,8.686m,"1,250.749m",
12936,6+900.14,10.286m,"1,250.650m",
12937,6+900.15,11.537m,"1,250.744m",
12938,6+899.96,13.010m,"1,250.622m",
12939,6+900.06,13.757m,"1,250.733m",
12940,6+900.00,14.440m,"1,250.955m",
12941,6+899.98,14.995m,"1,250.834m",
12942,6+859.95,-14.766m,"1,253.664m",
12943,6+859.87,-12.478m,"1,253.807m",
12944,6+860.00,-10.130m,"1,253.981m",
12945,6+860.25,-7.607m,"1,254.028m",
12946,6+860.25,-4.345m,"1,254.197m",
12947,6+860.19,-2.457m,"1,254.284m",
12948,6+860.09,-1.352m,"1,254.324m",
12949,6+859.99,0.000m,"1,254.287m",
12950,6+859.99,1.928m,"1,254.217m",
12951,6+860.05,4.733m,"1,254.111m",
12952,6+860.15,6.890m,"1,253.909m",
12953,6+860.11,7.539m,"1,253.881m",
12954,6+860.06,9.178m,"1,254.181m",
12955,6+860.05,11.009m,"1,254.475m",
12956,6+860.32,12.540m,"1,254.658m",
12957,6+860.07,13.871m,"1,254.912m",
12958,6+860.08,15.054m,"1,254.857m",
12959,6+860.00,14.520m,"1,255.108m",
12960,6+820.06,-15.009m,"1,257.340m",
12961,6+819.94,-13.315m,"1,257.355m",
12962,6+820.36,-10.980m,"1,257.292m",
12963,6+820.37,-8.999m,"1,257.348m",
12964,6+820.24,-7.110m,"1,257.391m",
12965,6+819.93,-4.955m,"1,257.318m",
12966,6+820.25,-2.756m,"1,257.174m",
12967,6+820.18,-0.762m,"1,256.923m",
12968,6+819.97,0.210m,"1,256.958m",
12969,6+819.94,3.092m,"1,256.967m",
12970,6+820.03,5.330m,"1,256.984m",
12971,6+820.19,6.624m,"1,257.002m",
12972,6+820.20,7.555m,"1,257.133m",
12973,6+819.98,9.772m,"1,257.085m",
12974,6+820.08,10.960m,"1,257.429m",
12975,6+820.00,11.633m,"1,257.238m",
12976,6+819.88,14.844m,"1,257.173m",
12977,6+779.92,-14.894m,"1,260.856m",
12978,6+780.00,-12.731m,"1,260.707m",
12979,6+780.10,-10.222m,"1,260.499m",
12980,6+780.01,-7.523m,"1,260.300m",
12981,6+779.93,-4.282m,"1,260.079m",
12982,6+779.84,-2.632m,"1,259.961m",
12983,6+780.04,-1.307m,"1,259.966m",
12984,6+779.98,0.102m,"1,260.130m",
12985,6+779.98,2.474m,"1,260.214m",
12986,6+779.93,3.494m,"1,260.334m",
12987,6+779.98,4.846m,"1,260.634m",
12988,6+779.97,5.626m,"1,260.819m",
12989,6+780.03,6.197m,"1,260.905m",
12990,6+780.00,6.903m,"1,260.693m",
12991,6+780.01,9.739m,"1,260.668m",
12992,6+780.01,12.772m,"1,260.771m",
12993,6+780.14,13.254m,"1,260.846m",
12994,6+780.04,15.099m,"1,260.320m",
12995,6+739.99,-14.699m,"1,263.664m",
12996,6+740.17,-10.883m,"1,263.477m",
12997,6+740.01,-8.754m,"1,263.492m",
12998,6+740.15,-6.485m,"1,263.506m",
12999,6+740.08,-4.295m,"1,263.739m",
13000,6+740.09,-2.509m,"1,263.752m",
13001,6+740.02,-1.174m,"1,263.815m",
13002,6+739.97,0.041m,"1,263.849m",
13003,6+739.99,1.903m,"1,264.035m",
13004,6+739.98,2.954m,"1,263.904m",
13005,6+739.87,5.968m,"1,263.842m",
13006,6+739.97,8.942m,"1,263.920m",
13007,6+740.03,9.439m,"1,264.079m",
13008,6+740.03,10.565m,"1,263.745m",
13009,6+740.19,11.859m,"1,263.470m",
13010,6+740.14,13.074m,"1,263.433m",
13011,6+740.04,14.918m,"1,263.367m",
13012,6+700.01,-14.804m,"1,266.309m",
13013,6+699.89,-11.984m,"1,266.342m",
13014,6+700.03,-8.004m,"1,266.320m",
13015,6+699.99,-5.858m,"1,266.228m",
13016,6+700.04,-4.897m,"1,266.279m",
13017,6+699.99,-3.022m,"1,266.068m",
13018,6+699.91,-1.762m,"1,266.074m",
13019,6+699.99,0.011m,"1,266.400m",
13020,6+700.05,0.777m,"1,266.279m",
13021,6+699.94,3.597m,"1,266.267m",
13022,6+700.00,6.075m,"1,266.243m",
13023,6+699.98,6.855m,"1,266.400m",
13024,6+699.91,7.334m,"1,266.269m",
13025,6+700.16,8.690m,"1,266.039m",
13026,6+699.95,11.838m,"1,265.870m",
13027,6+700.09,13.522m,"1,265.855m",
13028,6+699.99,14.901m,"1,265.845m",
13029,6+660.17,-14.696m,"1,268.943m",
13030,6+660.29,-12.485m,"1,268.890m",
13031,6+660.09,-10.552m,"1,268.966m",
13032,6+660.02,-9.195m,"1,268.955m",
13033,6+659.97,-7.105m,"1,268.933m",
13034,6+660.01,-6.041m,"1,268.937m",
13035,6+659.85,-4.392m,"1,268.825m",
13036,6+659.93,-3.091m,"1,268.901m",
13037,6+660.04,-2.132m,"1,269.153m",
13038,6+660.05,-1.553m,"1,269.023m",
13039,6+660.07,0.065m,"1,269.042m",
13040,6+659.96,1.799m,"1,269.089m",
13041,6+660.03,4.600m,"1,269.266m",
13042,6+660.09,5.109m,"1,269.288m",
13043,6+660.04,6.005m,"1,269.003m",
13044,6+660.01,7.540m,"1,269.004m",
13045,6+660.02,8.792m,"1,268.880m",
13046,6+660.07,9.761m,"1,268.737m",
13047,6+660.10,10.613m,"1,268.712m",
13048,6+660.12,13.944m,"1,268.551m",
13049,6+659.95,14.862m,"1,268.484m",
13050,6+619.92,-14.941m,"1,271.835m",
13051,6+620.15,-12.145m,"1,271.738m",
13052,6+619.72,-10.667m,"1,271.715m",
13053,6+619.96,-8.455m,"1,271.580m",
13054,6+619.84,-6.567m,"1,271.616m",
13055,6+619.83,-4.661m,"1,271.675m",
13056,6+619.97,-3.907m,"1,271.785m",
13057,6+619.95,-3.322m,"1,271.680m",
13058,6+620.07,-0.077m,"1,271.609m",
13059,6+620.02,2.848m,"1,271.747m",
13060,6+620.09,3.225m,"1,271.801m",
13061,6+620.18,5.268m,"1,271.270m",
13062,6+620.12,7.534m,"1,270.994m",
13063,6+620.09,9.950m,"1,270.959m",
13064,6+620.23,12.024m,"1,270.945m",
13065,6+620.21,13.194m,"1,270.977m",
13066,6+620.06,14.932m,"1,270.990m",
13067,6+580.02,-14.884m,"1,274.845m",
13068,6+580.31,-12.447m,"1,274.721m",
13069,6+580.17,-10.828m,"1,274.686m",
13070,6+580.14,-9.268m,"1,274.753m",
13071,6+580.30,-7.314m,"1,274.516m",
13072,6+580.07,-6.417m,"1,274.524m",
13073,6+580.05,-5.907m,"1,274.532m",
13074,6+579.99,-5.158m,"1,274.600m",
13075,6+580.04,-3.806m,"1,274.425m",
13076,6+579.95,-1.496m,"1,274.370m",
13077,6+580.04,-0.113m,"1,274.350m",
13078,6+580.03,1.327m,"1,274.428m",
13079,6+580.05,1.868m,"1,274.594m",
13080,6+579.86,3.650m,"1,274.074m",
13081,6+580.27,6.105m,"1,273.877m",
13082,6+580.45,7.355m,"1,273.593m",
13083,6+580.37,8.809m,"1,273.493m",
13084,6+580.15,11.491m,"1,273.291m",
13085,6+580.11,13.637m,"1,273.139m",
13086,6+580.04,14.972m,"1,273.052m",
13087,6+559.84,-14.924m,"1,276.238m",
13088,6+559.91,-12.614m,"1,276.130m",
13089,6+559.83,-10.574m,"1,275.950m",
13090,6+559.90,-8.265m,"1,275.798m",
13091,6+560.02,-6.507m,"1,275.680m",
13092,6+560.12,-5.093m,"1,275.648m",
13093,6+560.12,-4.006m,"1,275.527m",
13094,6+560.02,-2.901m,"1,275.518m",
13095,6+559.98,-1.509m,"1,275.496m",
13096,6+559.89,-0.061m,"1,275.492m",
13097,6+560.05,0.800m,"1,277.174m",
13098,6+560.11,1.678m,"1,275.665m",
13099,6+560.15,4.389m,"1,274.905m",
13100,6+560.15,5.724m,"1,274.813m",
13101,6+560.12,8.298m,"1,274.681m",
13102,6+560.13,9.730m,"1,274.756m",
13103,6+560.09,11.465m,"1,274.558m",
13104,6+560.04,13.105m,"1,274.501m",
13105,6+560.03,14.688m,"1,274.524m",
13106,6+540.01,-15.001m,"1,276.628m",
13107,6+540.04,-13.781m,"1,276.485m",
13108,6+539.95,-12.278m,"1,276.559m",
13109,6+540.00,-10.966m,"1,276.552m",
13110,6+540.05,-10.397m,"1,276.536m",
13111,6+540.10,-9.661m,"1,276.559m",
13112,6+540.15,-8.757m,"1,276.638m",
13113,6+540.07,-7.952m,"1,276.586m",
13114,6+540.06,-6.967m,"1,276.530m",
13115,6+540.09,-6.659m,"1,276.557m",
13116,6+540.05,-6.437m,"1,276.573m",
13117,6+540.05,-5.573m,"1,276.668m",
13118,6+540.01,-2.924m,"1,276.584m",
13119,6+540.01,0.004m,"1,276.547m",
13120,6+540.05,0.982m,"1,276.643m",
13121,6+539.98,1.546m,"1,276.774m",
13122,6+540.00,1.853m,"1,276.785m",
13123,6+539.96,4.094m,"1,276.221m",
13124,6+539.83,5.672m,"1,276.156m",
13125,6+539.90,6.300m,"1,276.221m",
13126,6+540.05,6.826m,"1,276.103m",
13127,6+539.94,8.582m,"1,276.124m",
13128,6+539.98,10.864m,"1,276.098m",
13129,6+540.09,12.830m,"1,276.063m",
13130,6+539.99,13.854m,"1,276.098m",
13131,6+540.09,14.814m,"1,276.064m",
13132,6+520.01,-14.924m,"1,277.765m",
13133,6+520.11,-14.268m,"1,277.802m",
13134,6+520.05,-13.408m,"1,277.806m",
13135,6+520.15,-12.480m,"1,277.609m",
13136,6+519.91,-10.590m,"1,277.684m",
13137,6+519.85,-9.091m,"1,277.679m",
13138,6+519.79,-8.078m,"1,277.764m",
13139,6+519.92,-7.123m,"1,277.705m",
13140,6+519.93,-5.787m,"1,277.754m",
13141,6+520.02,-5.404m,"1,277.803m",
13142,6+520.03,-4.279m,"1,277.749m",
13143,6+519.93,-2.866m,"1,277.737m",
13144,6+519.94,-2.168m,"1,277.745m",
13145,6+520.03,-0.661m,"1,277.763m",
13146,6+519.94,-0.039m,"1,277.772m",
13147,6+520.08,1.340m,"1,277.845m",
13148,6+520.04,1.893m,"1,277.972m",
13149,6+520.00,2.081m,"1,277.961m",
13150,6+520.17,2.575m,"1,277.840m",
13151,6+520.00,3.724m,"1,277.761m",
13152,6+519.99,4.942m,"1,277.509m",
13153,6+520.02,5.759m,"1,277.516m",
13154,6+520.03,6.032m,"1,277.551m",
13155,6+519.93,6.654m,"1,277.566m",
13156,6+519.98,6.952m,"1,277.495m",
13157,6+519.99,7.862m,"1,277.440m",
13158,6+519.88,8.791m,"1,277.408m",
13159,6+519.81,10.017m,"1,277.406m",
13160,6+519.80,11.022m,"1,277.386m",
13161,6+519.99,12.912m,"1,277.323m",
13162,6+520.00,14.036m,"1,277.284m",
13163,6+519.88,14.964m,"1,277.241m",
13164,6+499.96,-15.141m,"1,286.027m",
13165,6+499.99,-13.991m,"1,278.804m",
13166,6+500.07,-11.817m,"1,278.800m",
13167,6+500.04,-9.842m,"1,278.564m",
13168,6+500.09,-8.726m,"1,278.730m",
13169,6+500.12,-7.243m,"1,278.702m",
13170,6+499.97,-6.070m,"1,278.838m",
13171,6+500.11,-5.421m,"1,278.871m",
13172,6+500.01,-4.741m,"1,278.857m",
13173,6+500.01,-4.256m,"1,278.816m",
13174,6+500.03,-2.135m,"1,278.881m",
13175,6+499.96,0.027m,"1,278.824m",
13176,6+500.08,1.196m,"1,278.938m",
13177,6+500.03,1.808m,"1,279.055m",
13178,6+500.01,1.842m,"1,279.057m",
13179,6+500.10,2.346m,"1,278.950m",
13180,6+500.05,3.444m,"1,278.657m",
13181,6+499.92,5.554m,"1,278.595m",
13182,6+499.99,7.122m,"1,278.483m",
13183,6+499.97,9.097m,"1,278.470m",
13184,6+499.93,11.225m,"1,278.405m",
13185,6+499.93,13.440m,"1,278.410m",
13186,6+499.99,14.889m,"1,278.379m",
13187,6+479.96,-14.921m,"1,279.766m",
13188,6+480.06,-12.753m,"1,279.786m",
13189,6+480.06,-10.452m,"1,279.861m",
13190,6+480.12,-7.765m,"1,279.750m",
13191,6+480.04,-6.576m,"1,279.881m",
13192,6+480.06,-6.064m,"1,279.942m",
13193,6+480.01,-3.031m,"1,279.898m",
13194,6+480.00,0.027m,"1,279.906m",
13195,6+480.08,0.533m,"1,279.991m",
13196,6+479.94,0.971m,"1,280.091m",
13197,6+480.03,1.204m,"1,280.018m",
13198,6+480.11,2.315m,"1,279.784m",
13199,6+480.05,4.017m,"1,279.622m",
13200,6+480.00,5.293m,"1,279.698m",
13201,6+480.05,6.650m,"1,279.515m",
13202,6+480.10,8.612m,"1,279.511m",
13203,6+480.21,10.840m,"1,279.491m",
13204,6+480.17,12.236m,"1,279.481m",
13205,6+480.01,14.735m,"1,279.530m",
13206,6+459.98,-14.748m,"1,281.261m",
13207,6+460.05,-13.243m,"1,281.250m",
13208,6+459.97,-11.302m,"1,281.304m",
13209,6+460.13,-9.715m,"1,281.157m",
13210,6+460.19,-8.603m,"1,281.217m",
13211,6+460.07,-7.867m,"1,281.277m",
13212,6+459.85,-6.942m,"1,281.121m",
13213,6+460.18,-3.707m,"1,281.067m",
13214,6+460.01,-1.397m,"1,281.080m",
13215,6+460.07,-1.070m,"1,281.131m",
13216,6+459.95,-0.607m,"1,281.188m",
13217,6+460.04,0.021m,"1,281.124m",
13218,6+460.03,2.075m,"1,281.050m",
13219,6+460.13,3.276m,"1,281.143m",
13220,6+460.01,4.795m,"1,280.806m",
13221,6+460.10,6.601m,"1,280.730m",
13222,6+460.01,8.361m,"1,280.681m",
13223,6+459.92,9.848m,"1,280.628m",
13224,6+460.04,11.288m,"1,280.587m",
13225,6+460.11,12.794m,"1,280.545m",
13226,6+460.09,14.004m,"1,280.535m",
13227,6+460.11,14.968m,"1,280.511m",
13228,6+439.93,-14.818m,"1,282.902m",
13229,6+439.98,-12.499m,"1,283.006m",
13230,6+440.12,-11.301m,"1,283.008m",
13231,6+440.01,-10.661m,"1,282.922m",
13232,6+439.86,-9.716m,"1,282.900m",
13233,6+440.05,-6.138m,"1,282.713m",
13234,6+440.02,-3.784m,"1,282.709m",
13235,6+440.02,-3.271m,"1,282.705m",
13236,6+440.03,-2.638m,"1,282.823m",
13237,6+439.93,-1.425m,"1,282.705m",
13238,6+439.99,0.049m,"1,282.885m",
13239,6+439.94,1.138m,"1,282.859m",
13240,6+439.89,2.740m,"1,282.542m",
13241,6+440.11,4.688m,"1,282.403m",
13242,6+439.97,6.385m,"1,282.286m",
13243,6+439.96,8.648m,"1,282.143m",
